Data Timeseries Data Date,Data Timeseries Individuals
2022-02-24,79209
2022-02-25,179525
2022-02-26,322760
2022-02-27,490433
2022-02-28,652445
2022-03-01,818761
2022-03-02,989560
2022-03-03,1173690
2022-03-04,1343790
2022-03-05,1540463
2022-03-06,1742987
2022-03-07,1948991
2022-03-08,2132789
2022-03-09,2301246
2022-03-10,2433558
2022-03-11,2552776
2022-03-12,2666156
2022-03-13,2789420
2022-03-14,2900291
2022-03-15,3007520
2022-03-16,3108406
2022-03-17,3191919
2022-03-18,3270755
2022-03-19,3343434
2022-03-20,3401677
2022-03-21,3460430
2022-03-22,3524562
2022-03-23,3586938
2022-03-24,3653436
2022-03-25,3716127
2022-03-26,3777051
2022-03-27,3830949
2022-03-28,3879068
2022-03-29,3921481
2022-03-30,3972820
2022-03-31,4025932
2022-04-01,4074831
2022-04-02,4125824
2022-04-03,4173337
2022-04-04,4218065
2022-04-05,4267209
2022-04-06,4322205
2022-04-07,4377667
2022-04-08,4437007
2022-04-09,4499306
2022-04-10,4554408
2022-04-11,4608108
2022-04-12,4662999
2022-04-13,4718591
2022-04-14,4777081
2022-04-15,4831290
2022-04-16,4876680
2022-04-17,4914996
2022-04-18,4959759
2022-04-19,5013506
2022-04-20,5063740
2022-04-21,5112058
2022-04-22,5154360
2022-04-23,5190003
2022-04-24,5212090
2022-04-25,5244021
2022-04-26,5292508
2022-04-27,5347117
2022-04-28,5403488
2022-04-29,5457721
2022-04-30,5510890
2022-05-01,5551223
2022-05-02,5588314
2022-05-03,5629564
2022-05-04,5679591
2022-05-05,5728113
2022-05-06,5779588
2022-05-07,5834145
2022-05-08,5880812
2022-05-09,5911853
2022-05-10,5949099
2022-05-11,5996825
2022-05-12,6046921
2022-05-13,6094809
2022-05-14,6141703
2022-05-15,6189218
2022-05-16,6231848
2022-05-17,6276834
2022-05-18,6325220
2022-05-19,6372948
2022-05-20,6425000
2022-05-21,6473725
2022-05-22,6514957
2022-05-23,6557241
2022-05-24,6603785
2022-05-25,6652164
2022-05-26,6700411
